week,owner,kicker,team
1,austin,Matt Prater,DET
1,thomas,Sebastian Janikowski,OAK
2,austin,Jason Myers,JAC
2,thomas,Josh Lambo,SD
3,austin,Wil Lutz,NO
3,thomas,Matt Bryant,ATL
4,austin,Dustin Hopkins,WAS
4,thomas,Josh Lambo,SD
5,austin,Brandon McManus,DEN
5,thomas,Josh Lambo,SD
6,austin,Dan Carpenter,BUF
6,thomas,Nick Novak,HOU
7,austin,Brandon McManus,DEN
7,thomas,Jason Myers,JAC
8,austin,Mike Nugent,CIN
8,thomas,Nick Novak,HOU
9,austin,Sebastian Janikowski,OAK
9,thomas,Brandon McManus,DEN
10,austin,Chandler Catanzaro,ARI
10,thomas,Brandon McManus,DEN
11,austin,Dustin Hopkins,WAS
11,thomas,Connor Barth,CHI
12,austin,Dan Carpenter,BUF
12,thomas,Brandon McManus,DEN
13,austin,Matt Prater,DET
13,thomas,Brandon McManus,DEN
14,austin,Roberto Aguayo,TB
14,thomas,Robbie Gould,NYG
15,austin,Sebastian Janikowski,OAK
15,thomas,Kai Forbath,MIN
16,austin,Wil Lutz,NO
16,thomas,Josh Lambo,SD